distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-232.20958280094305,-233.08317805909067,-232.2206720483384,-232.2450493969603,-232.24711190441596,-231.4625472004449,-233.03631460556156,-232.23842060956102,-232.247111618927
0.6,-267.9640839342471,-268.7289707863973,-267.9706635300699,-267.98239317862107,-267.9831695837785,-266.8191919411193,-268.65841976188926,-267.8467812204777,-267.98316957724734
0.8999999999999999,-272.8614145280401,-273.5211943754043,-272.8709884321695,-272.8639022937398,-272.86523337395386,-272.33446153731563,-273.5310322021684,-269.8287496030257,-272.86523276986486
1.2,-274.3986217806037,-274.9256192297588,-274.40671548867465,-274.4015692552783,-274.40169416241145,-274.0642070953662,-275.01405280372643,-274.40148787744,-274.4016940334219
1.5,-274.8006340511771,-275.30072361353143,-274.8080863231205,-274.80324899933623,-274.8033405634392,-273.73619124628453,-275.4026506859902,-274.8030265932694,-274.80334045774487
1.8,-274.87837084115336,-275.36972200779155,-274.88610976625876,-274.88095384897224,-274.881086503986,-274.24814025928885,-275.4788597668638,-274.8807984223346,-274.88108646124215
2.0999999999999996,-274.8756569423521,-275.36480116656554,-274.8839323364721,-274.8785082542684,-274.8786467436514,-274.4410569201074,-275.47762165946045,-274.8782779151053,-274.87864668590345
2.4,-274.85581722716813,-275.34492536474136,-274.8644704990146,-274.85897318338056,-274.8591013415576,-274.1570310065679,-275.45847389114283,-274.85861147830053,-274.8591012678329
2.6999999999999997,-274.83567068716826,-275.32415010008253,-274.8446266744884,-274.8391563190135,-274.83925172015165,-274.21547643309924,-275.4381058639203,-274.8386098653076,-274.83925164775616
2.9999999999999996,-274.819240741567,-275.3065658273432,-274.82841834831237,-274.82303930918573,-274.82309997702583,-274.38567236030013,-275.4208000756876,-274.82229722391236,-274.8230998854111
3.3,-274.8067231153143,-275.29271527620614,-274.81598955314536,-274.80967342106055,-274.8256119278096,-273.9248459855403,-274.7502813105101,-274.6682251449767,-274.80985270417716
3.5999999999999996,-274.8066027357192,-274.80660273571914,-274.8066027357289,-274.80039497322485,-274.80147522804475,,-275.396476410883,-274.8009203895831,-274.8001989058516
